iter	Passed	Remaining
0	23	23156
1	37	18885
2	51	17256
3	65	16305
4	79	15807
5	93	15455
6	106	15107
7	120	14975
8	134	14843
9	148	14738
10	162	14596
11	177	14629
12	191	14543
13	206	14532
14	220	14507
15	235	14502
16	249	14447
17	263	14376
18	277	14317
19	290	14219
20	304	14184
21	318	14143
22	331	14095
23	345	14055
24	359	14010
25	372	13955
26	388	13984
27	401	13954
28	415	13926
29	429	13892
30	443	13872
31	459	13898
32	472	13846
33	486	13828
34	500	13812
35	514	13788
36	528	13762
37	547	13866
38	571	14076
39	588	14135
40	603	14122
41	617	14084
42	631	14047
43	644	14012
44	658	13977
45	671	13931
46	685	13906
47	700	13890
48	714	13874
49	729	13859
50	743	13843
51	758	13829
52	772	13806
53	786	13780
54	800	13753
55	814	13723
56	827	13695
57	841	13671
58	854	13634
59	868	13608
60	882	13586
61	896	13559
62	910	13537
63	923	13510
64	939	13508
65	953	13494
66	968	13479
67	982	13466
68	995	13438
69	1009	13416
70	1023	13397
71	1036	13363
72	1050	13337
73	1063	13313
74	1077	13289
75	1091	13265
76	1104	13235
77	1118	13215
78	1131	13194
79	1145	13174
80	1159	13154
81	1175	13160
82	1188	13129
83	1202	13113
84	1216	13096
85	1230	13072
86	1243	13046
87	1257	13027
88	1271	13013
89	1285	12996
90	1299	12981
91	1314	12969
92	1328	12956
93	1344	12958
94	1360	12958
95	1374	12947
96	1388	12927
97	1402	12909
98	1415	12883
99	1429	12866
100	1443	12847
101	1457	12835
102	1472	12824
103	1486	12810
104	1500	12791
105	1514	12769
106	1527	12750
107	1541	12734
108	1555	12715
109	1569	12697
110	1583	12681
111	1596	12660
112	1611	12647
113	1625	12633
114	1639	12619
115	1654	12604
116	1668	12590
117	1681	12569
118	1696	12557
119	1710	12543
120	1725	12532
121	1740	12522
122	1754	12513
123	1770	12505
124	1785	12496
125	1801	12497
126	1816	12484
127	1829	12464
128	1844	12451
129	1859	12441
130	1873	12426
131	1887	12411
132	1903	12406
133	1917	12393
134	1931	12373
135	1946	12364
136	1961	12354
137	1975	12342
138	1990	12330
139	2005	12316
140	2020	12307
141	2034	12293
142	2048	12277
143	2062	12257
144	2076	12245
145	2091	12234
146	2105	12219
147	2119	12203
148	2134	12189
149	2148	12175
150	2162	12156
151	2176	12143
152	2191	12131
153	2207	12125
154	2221	12112
155	2235	12096
156	2250	12084
157	2265	12071
158	2278	12051
159	2293	12039
160	2307	12026
161	2322	12013
162	2336	11998
163	2351	11985
164	2365	11971
165	2379	11952
166	2393	11939
167	2408	11927
168	2423	11915
169	2437	11902
170	2452	11888
171	2466	11875
172	2481	11860
173	2494	11842
174	2509	11829
175	2523	11815
176	2537	11800
177	2551	11784
178	2566	11769
179	2580	11755
180	2594	11738
181	2608	11725
182	2623	11713
183	2637	11698
184	2652	11684
185	2666	11669
186	2680	11653
187	2694	11640
188	2709	11626
189	2724	11613
190	2738	11600
191	2753	11585
192	2767	11571
193	2781	11556
194	2795	11538
195	2809	11525
196	2824	11511
197	2840	11504
198	2854	11489
199	2869	11476
200	2883	11464
201	2898	11451
202	2914	11442
203	2928	11425
204	2942	11412
205	2957	11398
206	2971	11385
207	2986	11370
208	3000	11357
209	3015	11342
210	3029	11329
211	3043	11311
212	3057	11298
213	3072	11284
214	3086	11268
215	3100	11254
216	3115	11240
217	3129	11227
218	3143	11208
219	3157	11195
220	3172	11183
221	3187	11169
222	3201	11155
223	3216	11142
224	3230	11128
225	3244	11111
226	3258	11096
227	3273	11082
228	3287	11068
229	3301	11053
230	3315	11038
231	3330	11024
232	3344	11007
233	3358	10993
234	3372	10979
235	3387	10965
236	3401	10950
237	3415	10935
238	3429	10921
239	3443	10904
240	3458	10892
241	3473	10879
242	3488	10866
243	3502	10852
244	3517	10838
245	3531	10823
246	3545	10808
247	3559	10791
248	3573	10778
249	3588	10764
250	3602	10750
251	3616	10735
252	3631	10721
253	3645	10707
254	3659	10690
255	3673	10676
256	3688	10663
257	3703	10650
258	3717	10635
259	3732	10624
260	3747	10610
261	3761	10596
262	3775	10578
263	3789	10565
264	3804	10551
265	3818	10536
266	3833	10522
267	3847	10507
268	3861	10493
269	3875	10477
270	3890	10464
271	3904	10450
272	3919	10436
273	3933	10422
274	3948	10408
275	3962	10393
276	3976	10378
277	3990	10363
278	4005	10349
279	4019	10336
280	4034	10322
281	4048	10308
282	4063	10294
283	4077	10279
284	4090	10262
285	4105	10249
286	4119	10235
287	4134	10222
288	4148	10206
289	4163	10192
290	4177	10178
291	4191	10161
292	4205	10148
293	4220	10134
294	4234	10120
295	4249	10106
296	4263	10092
297	4278	10078
298	4292	10063
299	4305	10047
300	4320	10033
301	4334	10019
302	4349	10005
303	4363	9991
304	4378	9976
305	4392	9962
306	4406	9946
307	4421	9933
308	4435	9919
309	4450	9905
310	4464	9891
311	4479	9877
312	4493	9863
313	4508	9849
314	4521	9833
315	4536	9819
316	4551	9806
317	4565	9791
318	4580	9777
319	4594	9763
320	4608	9748
321	4622	9732
322	4637	9719
323	4653	9710
324	4669	9697
325	4684	9684
326	4698	9669
327	4713	9656
328	4727	9641
329	4742	9627
330	4755	9611
331	4770	9598
332	4785	9585
333	4800	9571
334	4814	9557
335	4830	9546
336	4844	9531
337	4859	9516
338	4872	9500
339	4887	9487
340	4902	9474
341	4917	9460
342	4931	9446
343	4946	9432
344	4960	9417
345	4975	9403
346	4988	9387
347	5003	9374
348	5018	9361
349	5033	9347
350	5050	9338
351	5068	9331
352	5086	9322
353	5104	9314
354	5124	9311
355	5142	9302
356	5160	9295
357	5180	9289
358	5197	9280
359	5215	9271
360	5233	9263
361	5251	9255
362	5269	9246
363	5286	9237
364	5301	9223
365	5316	9209
366	5331	9194
367	5345	9180
368	5359	9165
369	5374	9151
370	5388	9135
371	5402	9120
372	5417	9106
373	5432	9092
374	5446	9078
375	5461	9063
376	5476	9049
377	5494	9040
378	5511	9031
379	5529	9022
380	5547	9012
381	5565	9004
382	5584	8995
383	5601	8986
384	5619	8976
385	5634	8963
386	5649	8948
387	5664	8934
388	5679	8920
389	5693	8905
390	5708	8891
391	5722	8876
392	5736	8859
393	5751	8845
394	5766	8831
395	5780	8817
396	5796	8804
397	5811	8790
398	5826	8775
399	5842	8763
400	5857	8749
401	5873	8736
402	5887	8721
403	5901	8706
404	5916	8692
405	5931	8678
406	5948	8666
407	5962	8651
408	5977	8636
409	5991	8622
410	6006	8607
411	6019	8590
412	6034	8576
413	6049	8562
414	6064	8548
